"Name","Team","Kills","Assists","Deaths","HS%","Team_kill","All_entries_won","Bomb_planted","Bomb_defused","KPR","APR","DPR","ADR","TDH","TDA","5K","4K","3K","2K","1K","Trade_kill","Trade_death","1v1","1v1_won","1v2","1v2_won","1v3","1v3_won","1v4","1v4_won","1v5","1v5_won","Utility","Map","Year","Map_Type","Event","Flashed_opponents_for","CT_entry_attempts","CT_entry_attempts_won","T_entry_attempts","T_entry_attempts_won"
"Magisk","Astralis",9,7,18,33.33,0,3,0,1,0.39,0.3,0.78,61.8,1421,124,0,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",99.92,4,1,3,0
"Lucky","Astralis",9,0,17,22.22,0,1,2,1,0.39,0,0.74,35.3,811,103,0,0,1,0,6,1,4,0,0,0,0,1,0,0,0,1,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",33.35,1,1,1,0
"Xyp9x","Astralis",5,4,20,40,0,0,1,0,0.22,0.17,0.87,33.2,763,77,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",51.58,4,0,0,0
"stavn","Heroic",26,5,11,23.08,0,3,2,3,1.13,0.22,0.48,113.5,2610,357,0,0,3,7,3,3,3,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",61.83,5,4,3,2
"dupreeh","Astralis",21,1,16,47.62,0,1,1,1,0.91,0.04,0.7,82.3,1892,288,0,0,3,4,4,6,3,0,0,0,0,2,0,2,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",9.81,2,1,1,1
"TeSeS","Heroic",12,3,10,25,0,0,1,0,0.52,0.13,0.43,52.6,1210,224,0,0,0,1,10,2,3,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",95.48,1,1,0,0
"refrezh","Heroic",19,4,11,31.58,0,1,1,0,0.83,0.17,0.48,68.4,1574,248,0,0,1,4,8,0,3,0,0,0,0,1,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",49.16,5,5,1,1
"gla1ve","Astralis",4,4,19,0,0,2,2,0,0.17,0.17,0.83,41.1,946,119,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",44.94,5,0,2,1
"sjuush","Heroic",17,5,6,64.71,0,0,1,1,0.74,0.22,0.26,77.9,1792,275,0,0,2,3,5,4,0,0,0,0,0,0,0,1,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",66.55,2,1,0,0
"cadiaN","Heroic",16,7,10,12.5,0,3,1,0,0.7,0.3,0.43,88.7,2039,151,0,1,0,2,8,1,1,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","31-10-2021","BO1","PGL Major Stockholm 2021",98.05,3,2,3,2
"misutaaa","Vitality",20,5,17,35,0,1,3,0,0.77,0.19,0.65,80.1,2082,399,0,0,0,5,10,5,6,0,0,0,0,2,0,0,0,0,0,233272,"de_nuke","02-11-2021","BO1","PGL Major Stockholm 2021",4.73,2,2,1,1
